((10012, 10002), 1),0
((10012, 10011), 3),0
((10012, 10004), 3),0
((10003, 10012), 2),0
((10006, 10007), 2),0
((10006, 10000), 2),0
((10007, 10003), 2),0
((10006, 10012), 2),0
((10005, 10007), 2),0
((10008, 10006), 3),0
((10000, 10010), 1),0
((10004, 10008), 1),0
((10011, 10011), 1),0
((10002, 10002), 2),0
((10001, 10006), 3),0
((10003, 10005), 3),0
((10002, 10014), 2),0
((10002, 10004), 2),0
((10008, 10014), 1),0
((10009, 10002), 1),0
((10006, 10000), 3),0
((10007, 10003), 3),0
((10006, 10012), 3),0
((10010, 10003), 2),0
((10006, 10007), 1),0
((10011, 10013), 3),0
((10007, 10010), 1),0
((10002, 10005), 2),0
((10007, 10013), 2),0
((10009, 10015), 1),0
((10002, 10005), 3),0
((10004, 10010), 3),0
((10011, 10001), 3),0
((10008, 10009), 2),0
((10011, 10011), 2),0
((10011, 10004), 2),0
((10002, 10002), 3),0
((10006, 10003), 3),0
((10006, 10015), 3),0
((10002, 10014), 3),0
((10002, 10007), 3),0
((10012, 10010), 3),0
((10009, 10002), 2),0
((10000, 10013), 1),0
((10008, 10009), 3),0
((10001, 10006), 2),0
((10010, 10011), 2),0
((10007, 10006), 1),0
((10008, 10015), 2),0
((10005, 10007), 1),0
((10004, 10001), 1),0
((10001, 10012), 1),0
((10011, 10004), 1),0
((10011, 10007), 2),0
((10007, 10006), 2),0
((10010, 10011), 3),0
((10003, 10003), 1),0
((10006, 10013), 1),0
((10002, 10012), 1),0
((10003, 10015), 1),0
((10012, 10008), 1),0
((10008, 10007), 1),0
((10008, 10000), 1),0
((10006, 10013), 2),0
((10003, 10013), 3),0
((10000, 10003), 3),0
((10002, 10004), 3),0
((10012, 10000), 3),0
((10000, 10015), 3),0
((10011, 10006), 3),0
((10002, 10008), 3),0
((10012, 10007), 1),0
((10008, 10015), 3),0
((10008, 10012), 2),0
((10008, 10005), 2),0
((10001, 10012), 2),0
((10011, 10007), 3),0
((10011, 10000), 3),0
((10008, 10000), 2),0
((10004, 10004), 1),0
((10007, 10009), 1),0
((10003, 10008), 1),0
((10000, 10009), 1),0
((10006, 10003), 2),0
((10010, 10002), 1),0
((10012, 10013), 1),0
((10005, 10006), 1),0
((10010, 10004), 3),0
((10002, 10010), 3),0
((10008, 10005), 3),0
((10003, 10011), 1),0
((10003, 10004), 1),0
((10006, 10006), 2),0
((10008, 10012), 1),0
((10003, 10001), 1),0
