(2, 12),(10000, 10003)
(3, 4),(10000, 10001)
(14, 4),(10003, 10001)
(17, 6),(10004, 10001)
(17, 15),(10004, 10003)
(9, 11),(10002, 10002)
(9, 20),(10002, 10005)
(6, 5),(10001, 10001)
(6, 14),(10001, 10003)
(10, 2),(10002, 10000)
(10, 11),(10002, 10002)
(2, 7),(10000, 10001)
(2, 16),(10000, 10004)
(13, 13),(10003, 10003)
(16, 18),(10004, 10004)
(17, 1),(10004, 10000)
(5, 8),(10001, 10002)
(17, 10),(10004, 10002)
(9, 6),(10002, 10001)
(5, 17),(10001, 10004)
(17, 19),(10004, 10004)
(9, 15),(10002, 10003)
(6, 0),(10001, 10000)
(6, 9),(10001, 10002)
(6, 18),(10001, 10004)
(20, 20),(10000007, 10000007)
(10, 6),(10002, 10001)
(2, 2),(10000, 10000)
(2, 11),(10000, 10002)
(13, 8),(10003, 10002)
(1, 15),(10000, 10003)
(13, 17),(10003, 10004)
(16, 13),(10004, 10003)
(5, 3),(10001, 10000)
(17, 5),(10004, 10001)
(9, 1),(10002, 10000)
(5, 12),(10001, 10003)
(17, 14),(10004, 10003)
(9, 10),(10002, 10002)
(9, 19),(10002, 10004)
(6, 4),(10001, 10001)
(6, 13),(10001, 10003)
(20, 15),(10005, 10003)
(12, 20),(10003, 10005)
(13, 3),(10003, 10000)
(1, 10),(10000, 10002)
(13, 12),(10003, 10003)
(16, 8),(10004, 10002)
(1, 19),(10000, 10004)
(16, 17),(10004, 10004)
(17, 0),(10004, 10000)
(5, 7),(10001, 10001)
(17, 9),(10004, 10002)
(9, 5),(10002, 10001)
(5, 16),(10001, 10004)
(9, 14),(10002, 10003)
(20, 1),(10005, 10000)
(20, 10),(10005, 10002)
(12, 6),(10003, 10001)
(20, 19),(10005, 10004)
(12, 15),(10003, 10003)
(4, 11),(10001, 10002)
(4, 20),(10001, 10005)
(1, 5),(10000, 10001)
(13, 7),(10003, 10001)
(16, 3),(10004, 10000)
(1, 14),(10000, 10003)
(13, 16),(10003, 10004)
(16, 12),(10004, 10003)
(5, 2),(10001, 10000)
(17, 4),(10004, 10001)
(9, 0),(10002, 10000)
(5, 11),(10001, 10002)
(9, 9),(10002, 10002)
(8, 13),(10002, 10003)
(19, 13),(10004, 10003)
(0, 18),(10000, 10004)
(11, 18),(10002, 10004)
(20, 5),(10005, 10001)
(12, 1),(10003, 10000)
(20, 14),(10005, 10003)
(12, 10),(10003, 10002)
(4, 6),(10001, 10001)
(12, 19),(10003, 10004)
(4, 15),(10001, 10003)
(1, 0),(10000, 10000)
(13, 2),(10003, 10000)
(1, 9),(10000, 10002)
(13, 11),(10003, 10002)
(16, 7),(10004, 10001)
(1, 18),(10000, 10004)
(16, 16),(10004, 10004)
(15, 20),(10003, 10005)
(5, 6),(10001, 10001)
(18, 8),(10004, 10002)
(8, 8),(10002, 10002)
(19, 8),(10004, 10002)
(0, 4),(10000, 10001)
(8, 17),(10002, 10004)
(19, 17),(10004, 10004)
(0, 13),(10000, 10003)
(11, 13),(10002, 10003)
(20, 0),(10005, 10000)
(20, 9),(10005, 10002)
(12, 5),(10003, 10001)
(20, 18),(10005, 10004)
(4, 1),(10001, 10000)
(12, 14),(10003, 10003)
(4, 10),(10001, 10002)
(4, 19),(10001, 10004)
(1, 4),(10000, 10001)
(16, 2),(10004, 10000)
(1, 13),(10000, 10003)
(15, 15),(10003, 10003)
(7, 20),(10001, 10005)
(18, 20),(10004, 10005)
(8, 3),(10002, 10000)
(19, 3),(10004, 10000)
(8, 12),(10002, 10003)
(19, 12),(10004, 10003)
(0, 8),(10000, 10002)
(11, 8),(10002, 10002)
(0, 17),(10000, 10004)
(11, 17),(10002, 10004)
(20, 4),(10005, 10001)
(12, 0),(10003, 10000)
(20, 13),(10005, 10003)
(12, 9),(10003, 10002)
(4, 5),(10001, 10001)
(4, 14),(10001, 10003)
